"","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","rental_type","rental_num","rentalship","day_in_month","year"
"80","2011-03-21",2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,"casual",401,"Low",21,2011
"81","2011-03-22",2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,"casual",460,"Low",22,2011
"82","2011-03-23",2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,"casual",203,"Low",23,2011
"83","2011-03-24",2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,"casual",166,"Low",24,2011
"84","2011-03-25",2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,"casual",300,"Low",25,2011
"85","2011-03-26",2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,"casual",981,"Low",26,2011
"86","2011-03-27",2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,"casual",472,"Low",27,2011
"87","2011-03-28",2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,"casual",222,"Low",28,2011
"88","2011-03-29",2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,"casual",317,"Low",29,2011
"89","2011-03-30",2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,"casual",168,"Low",30,2011
"90","2011-03-31",2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,"casual",179,"Low",31,2011
"91","2011-04-01",2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,"casual",307,"Low",1,2011
"92","2011-04-02",2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,"casual",898,"Low",2,2011
"93","2011-04-03",2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,"casual",1651,"Low",3,2011
"94","2011-04-04",2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,"casual",734,"Low",4,2011
"95","2011-04-05",2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,"casual",167,"Low",5,2011
"96","2011-04-06",2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,"casual",413,"Low",6,2011
"97","2011-04-07",2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,"casual",571,"Low",7,2011
"98","2011-04-08",2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,"casual",172,"Low",8,2011
"99","2011-04-09",2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,"casual",879,"Low",9,2011
"100","2011-04-10",2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,"casual",1188,"Low",10,2011
"101","2011-04-11",2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,"casual",855,"Low",11,2011
"102","2011-04-12",2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,"casual",257,"Low",12,2011
"103","2011-04-13",2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,"casual",209,"Low",13,2011
"104","2011-04-14",2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,"casual",529,"Low",14,2011
"105","2011-04-15",2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,"casual",642,"Low",15,2011
"106","2011-04-16",2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,"casual",121,"Low",16,2011
"107","2011-04-17",2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,"casual",1558,"Low",17,2011
"108","2011-04-18",2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,"casual",669,"Low",18,2011
"109","2011-04-19",2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,"casual",409,"Low",19,2011
"110","2011-04-20",2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,"casual",613,"Low",20,2011
"111","2011-04-21",2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,"casual",745,"Low",21,2011
"112","2011-04-22",2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,"casual",177,"Low",22,2011
"113","2011-04-23",2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,"casual",1462,"Low",23,2011
"114","2011-04-24",2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,"casual",1710,"Low",24,2011
"115","2011-04-25",2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,"casual",773,"Low",25,2011
"116","2011-04-26",2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,"casual",678,"Low",26,2011
"117","2011-04-27",2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,"casual",547,"Low",27,2011
"118","2011-04-28",2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,"casual",569,"Low",28,2011
"119","2011-04-29",2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,"casual",878,"Low",29,2011
"120","2011-04-30",2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,"casual",1965,"Low",30,2011
"121","2011-05-01",2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,"casual",1138,"Low",1,2011
"122","2011-05-02",2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,"casual",847,"Low",2,2011
"123","2011-05-03",2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,"casual",603,"Low",3,2011
"124","2011-05-04",2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,"casual",255,"Low",4,2011
"125","2011-05-05",2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,"casual",614,"Low",5,2011
"126","2011-05-06",2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,"casual",894,"Low",6,2011
"127","2011-05-07",2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,"casual",1612,"Low",7,2011
"128","2011-05-08",2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,"casual",1401,"Low",8,2011
"129","2011-05-09",2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,"casual",664,"Low",9,2011
"130","2011-05-10",2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,"casual",694,"Low",10,2011
"131","2011-05-11",2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,"casual",550,"Low",11,2011
"132","2011-05-12",2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,"casual",695,"Low",12,2011
"133","2011-05-13",2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,"casual",692,"Low",13,2011
"134","2011-05-14",2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,"casual",902,"Low",14,2011
"135","2011-05-15",2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,"casual",1582,"Low",15,2011
"136","2011-05-16",2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,"casual",773,"Low",16,2011
"137","2011-05-17",2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,"casual",678,"Low",17,2011
"138","2011-05-18",2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,"casual",536,"Low",18,2011
"139","2011-05-19",2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,"casual",735,"Low",19,2011
"140","2011-05-20",2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,"casual",909,"Low",20,2011
"141","2011-05-21",2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,"casual",2258,"Low",21,2011
"142","2011-05-22",2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,"casual",1576,"Low",22,2011
"143","2011-05-23",2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,"casual",836,"Low",23,2011
"144","2011-05-24",2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,"casual",659,"Low",24,2011
"145","2011-05-25",2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,"casual",740,"Low",25,2011
"146","2011-05-26",2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,"casual",758,"Low",26,2011
"147","2011-05-27",2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,"casual",871,"Low",27,2011
"148","2011-05-28",2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,"casual",2001,"Low",28,2011
"149","2011-05-29",2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,"casual",2355,"Low",29,2011
"150","2011-05-30",2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,"casual",1549,"Low",30,2011
"151","2011-05-31",2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,"casual",673,"Low",31,2011
"152","2011-06-01",2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,"casual",513,"Low",1,2011
"153","2011-06-02",2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,"casual",736,"Low",2,2011
"154","2011-06-03",2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,"casual",898,"Low",3,2011
"155","2011-06-04",2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,"casual",1869,"Low",4,2011
"156","2011-06-05",2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,"casual",1685,"Low",5,2011
"157","2011-06-06",2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,"casual",673,"Low",6,2011
"158","2011-06-07",2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,"casual",763,"Low",7,2011
"159","2011-06-08",2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,"casual",676,"Low",8,2011
"160","2011-06-09",2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,"casual",563,"Low",9,2011
"161","2011-06-10",2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,"casual",815,"Low",10,2011
"162","2011-06-11",2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,"casual",1729,"Low",11,2011
"163","2011-06-12",2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,"casual",1467,"Low",12,2011
"164","2011-06-13",2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,"casual",863,"Low",13,2011
"165","2011-06-14",2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,"casual",727,"Low",14,2011
"166","2011-06-15",2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,"casual",769,"Low",15,2011
"167","2011-06-16",2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,"casual",545,"Low",16,2011
"168","2011-06-17",2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,"casual",863,"Low",17,2011
"169","2011-06-18",2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,"casual",1807,"Low",18,2011
"170","2011-06-19",2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,"casual",1639,"Low",19,2011
"171","2011-06-20",2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,"casual",699,"Low",20,2011
"172","2011-06-21",3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,"casual",774,"Low",21,2011
"173","2011-06-22",3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,"casual",661,"Low",22,2011
"174","2011-06-23",3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,"casual",746,"Low",23,2011
"175","2011-06-24",3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,"casual",969,"Low",24,2011
"176","2011-06-25",3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,"casual",1782,"Low",25,2011
"177","2011-06-26",3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,"casual",1920,"Low",26,2011
"178","2011-06-27",3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,"casual",854,"Low",27,2011
"179","2011-06-28",3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,"casual",732,"Low",28,2011
"180","2011-06-29",3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,"casual",848,"Low",29,2011
"181","2011-06-30",3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,"casual",1027,"Low",30,2011
"182","2011-07-01",3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,"casual",1246,"Low",1,2011
"183","2011-07-02",3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,"casual",2204,"Low",2,2011
"184","2011-07-03",3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,"casual",2282,"Low",3,2011
"185","2011-07-04",3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,"casual",3065,"Low",4,2011
"186","2011-07-05",3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,"casual",1031,"Low",5,2011
"187","2011-07-06",3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,"casual",784,"Low",6,2011
"188","2011-07-07",3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,"casual",754,"Low",7,2011
"189","2011-07-08",3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,"casual",692,"Low",8,2011
"190","2011-07-09",3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,"casual",1988,"Low",9,2011
"191","2011-07-10",3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,"casual",1743,"Low",10,2011
"192","2011-07-11",3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,"casual",723,"Low",11,2011
"193","2011-07-12",3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,"casual",662,"Low",12,2011
"194","2011-07-13",3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,"casual",748,"Low",13,2011
"195","2011-07-14",3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,"casual",888,"Low",14,2011
"196","2011-07-15",3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,"casual",1318,"Low",15,2011
"197","2011-07-16",3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,"casual",2418,"Low",16,2011
"198","2011-07-17",3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,"casual",2006,"Low",17,2011
"199","2011-07-18",3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,"casual",841,"Low",18,2011
"200","2011-07-19",3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,"casual",752,"Low",19,2011
"201","2011-07-20",3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,"casual",644,"Low",20,2011
"202","2011-07-21",3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,"casual",632,"Low",21,2011
"203","2011-07-22",3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,"casual",562,"Low",22,2011
"204","2011-07-23",3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,"casual",987,"Low",23,2011
"205","2011-07-24",3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,"casual",1050,"Low",24,2011
"206","2011-07-25",3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,"casual",568,"Low",25,2011
"207","2011-07-26",3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,"casual",750,"Low",26,2011
"208","2011-07-27",3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,"casual",755,"Low",27,2011
"209","2011-07-28",3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,"casual",606,"Low",28,2011
"210","2011-07-29",3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,"casual",670,"Low",29,2011
"211","2011-07-30",3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,"casual",1559,"Low",30,2011
"212","2011-07-31",3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,"casual",1524,"Low",31,2011
"213","2011-08-01",3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,"casual",729,"Low",1,2011
"214","2011-08-02",3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,"casual",801,"Low",2,2011
"215","2011-08-03",3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,"casual",467,"Low",3,2011
"216","2011-08-04",3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,"casual",799,"Low",4,2011
"217","2011-08-05",3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,"casual",1023,"Low",5,2011
"218","2011-08-06",3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,"casual",1521,"Low",6,2011
"219","2011-08-07",3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,"casual",1298,"Low",7,2011
"220","2011-08-08",3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,"casual",846,"Low",8,2011
"221","2011-08-09",3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,"casual",907,"Low",9,2011
"222","2011-08-10",3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,"casual",884,"Low",10,2011
"223","2011-08-11",3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,"casual",812,"Low",11,2011
"224","2011-08-12",3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,"casual",1051,"Low",12,2011
"225","2011-08-13",3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,"casual",1504,"Low",13,2011
"226","2011-08-14",3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,"casual",1338,"Low",14,2011
"227","2011-08-15",3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,"casual",775,"Low",15,2011
"228","2011-08-16",3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,"casual",721,"Low",16,2011
"229","2011-08-17",3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,"casual",668,"Low",17,2011
"230","2011-08-18",3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,"casual",639,"Low",18,2011
"231","2011-08-19",3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,"casual",797,"Low",19,2011
"232","2011-08-20",3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,"casual",1914,"Low",20,2011
"233","2011-08-21",3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,"casual",1249,"Low",21,2011
"234","2011-08-22",3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,"casual",833,"Low",22,2011
"235","2011-08-23",3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,"casual",1281,"Low",23,2011
